Time,Date,Year,Month,Month_Num,Country,Value ($US)
2012,2012,2012,Annual,00,Canada,292650534087.0
2012,2012,2012,Annual,00,Mexico,215875115867.0
January 2012,2012-01-01,2012,January,01,Canada,22078483818.0
January 2012,2012-01-01,2012,January,01,Mexico,17011237926.0
February 2012,2012-02-01,2012,February,02,Canada,23510000548.0
February 2012,2012-02-01,2012,February,02,Mexico,16935948862.0
March 2012,2012-03-01,2012,March,03,Canada,26418441638.0
March 2012,2012-03-01,2012,March,03,Mexico,19006945753.0
April 2012,2012-04-01,2012,April,04,Canada,24495603566.0
April 2012,2012-04-01,2012,April,04,Mexico,17208588868.0
May 2012,2012-05-01,2012,May,05,Canada,25912565173.0
May 2012,2012-05-01,2012,May,05,Mexico,18426917492.0
June 2012,2012-06-01,2012,June,06,Canada,25857643716.0
June 2012,2012-06-01,2012,June,06,Mexico,17476014178.0
July 2012,2012-07-01,2012,July,07,Canada,22774697237.0
July 2012,2012-07-01,2012,July,07,Mexico,17539885608.0
August 2012,2012-08-01,2012,August,08,Canada,24835647615.0
August 2012,2012-08-01,2012,August,08,Mexico,19219022818.0
September 2012,2012-09-01,2012,September,09,Canada,24147866076.0
September 2012,2012-09-01,2012,September,09,Mexico,17457370464.0
October 2012,2012-10-01,2012,October,10,Canada,25678936770.0
October 2012,2012-10-01,2012,October,10,Mexico,20453808204.0
November 2012,2012-11-01,2012,November,11,Canada,24679568411.0
November 2012,2012-11-01,2012,November,11,Mexico,18763965975.0
December 2012,2012-12-01,2012,December,12,Canada,22261079519.0
December 2012,2012-12-01,2012,December,12,Mexico,16375409719.0
2013,2013,2013,Annual,00,Canada,300754868974.0
2013,2013,2013,Annual,00,Mexico,225954367783.0
January 2013,2013-01-01,2013,January,01,Canada,23170845914.0
January 2013,2013-01-01,2013,January,01,Mexico,17902453702.0
February 2013,2013-02-01,2013,February,02,Canada,23199318297.0
February 2013,2013-02-01,2013,February,02,Mexico,17703202113.0
March 2013,2013-03-01,2013,March,03,Canada,26039808564.0
March 2013,2013-03-01,2013,March,03,Mexico,18092748191.0
April 2013,2013-04-01,2013,April,04,Canada,26209760419.0
April 2013,2013-04-01,2013,April,04,Mexico,19794582575.0
May 2013,2013-05-01,2013,May,05,Canada,26473354644.0
May 2013,2013-05-01,2013,May,05,Mexico,19226188059.0
June 2013,2013-06-01,2013,June,06,Canada,25393740866.0
June 2013,2013-06-01,2013,June,06,Mexico,17986313583.0
July 2013,2013-07-01,2013,July,07,Canada,23604522379.0
July 2013,2013-07-01,2013,July,07,Mexico,19581824520.0
August 2013,2013-08-01,2013,August,08,Canada,25373202666.0
August 2013,2013-08-01,2013,August,08,Mexico,19191120817.0
September 2013,2013-09-01,2013,September,09,Canada,24881162620.0
September 2013,2013-09-01,2013,September,09,Mexico,18023020208.0
