Time,Date,Year,Month,Month_Num,Country,Value ($US)
2012,2012,2012,Annual,00,Canada,324263012583.0
2012,2012,2012,Annual,00,Mexico,277593639546.0
January 2012,2012-01-01,2012,January,01,Canada,26786985510.0
January 2012,2012-01-01,2012,January,01,Mexico,21503850119.0
February 2012,2012-02-01,2012,February,02,Canada,26230561403.0
February 2012,2012-02-01,2012,February,02,Mexico,22617235501.0
March 2012,2012-03-01,2012,March,03,Canada,29184998618.0
March 2012,2012-03-01,2012,March,03,Mexico,25114970644.0
April 2012,2012-04-01,2012,April,04,Canada,27802767047.0
April 2012,2012-04-01,2012,April,04,Mexico,22757374163.0
May 2012,2012-05-01,2012,May,05,Canada,27612779609.0
May 2012,2012-05-01,2012,May,05,Mexico,24815000650.0
June 2012,2012-06-01,2012,June,06,Canada,27330870113.0
June 2012,2012-06-01,2012,June,06,Mexico,23513912415.0
July 2012,2012-07-01,2012,July,07,Canada,24973683714.0
July 2012,2012-07-01,2012,July,07,Mexico,22526284391.0
August 2012,2012-08-01,2012,August,08,Canada,27027583682.0
August 2012,2012-08-01,2012,August,08,Mexico,23763800403.0
September 2012,2012-09-01,2012,September,09,Canada,26051973341.0
September 2012,2012-09-01,2012,September,09,Mexico,22151094060.0
October 2012,2012-10-01,2012,October,10,Canada,27661292052.0
October 2012,2012-10-01,2012,October,10,Mexico,24817644447.0
November 2012,2012-11-01,2012,November,11,Canada,27751808795.0
November 2012,2012-11-01,2012,November,11,Mexico,23731326201.0
December 2012,2012-12-01,2012,December,12,Canada,25847708699.0
December 2012,2012-12-01,2012,December,12,Mexico,20281146552.0
2013,2013,2013,Annual,00,Canada,332503645324.0
2013,2013,2013,Annual,00,Mexico,280556040242.0
January 2013,2013-01-01,2013,January,01,Canada,28055006070.0
January 2013,2013-01-01,2013,January,01,Mexico,21555691063.0
February 2013,2013-02-01,2013,February,02,Canada,25848367646.0
February 2013,2013-02-01,2013,February,02,Mexico,22070216153.0
March 2013,2013-03-01,2013,March,03,Canada,28342376865.0
March 2013,2013-03-01,2013,March,03,Mexico,23152280405.0
April 2013,2013-04-01,2013,April,04,Canada,28527046617.0
April 2013,2013-04-01,2013,April,04,Mexico,24364137517.0
May 2013,2013-05-01,2013,May,05,Canada,28505949667.0
May 2013,2013-05-01,2013,May,05,Mexico,24484250823.0
June 2013,2013-06-01,2013,June,06,Canada,27099136961.0
June 2013,2013-06-01,2013,June,06,Mexico,22927614985.0
July 2013,2013-07-01,2013,July,07,Canada,26192314683.0
July 2013,2013-07-01,2013,July,07,Mexico,23545906453.0
August 2013,2013-08-01,2013,August,08,Canada,27775113006.0
August 2013,2013-08-01,2013,August,08,Mexico,23988341411.0
September 2013,2013-09-01,2013,September,09,Canada,28168814937.0
September 2013,2013-09-01,2013,September,09,Mexico,23303262723.0
October 2013,2013-10-01,2013,October,10,Canada,29634436835.0
October 2013,2013-10-01,2013,October,10,Mexico,25314928284.0
November 2013,2013-11-01,2013,November,11,Canada,27367598442.0
November 2013,2013-11-01,2013,November,11,Mexico,23723348880.0
December 2013,2013-12-01,2013,December,12,Canada,26987483595.0
December 2013,2013-12-01,2013,December,12,Mexico,22126061545.0
2014,2014,2014,Annual,00,Canada,349286122826.0
2014,2014,2014,Annual,00,Mexico,295729962846.0
January 2014,2014-01-01,2014,January,01,Canada,27705334454.0
January 2014,2014-01-01,2014,January,01,Mexico,22021433933.0
February 2014,2014-02-01,2014,February,02,Canada,26082942730.0
February 2014,2014-02-01,2014,February,02,Mexico,22445225298.0
March 2014,2014-03-01,2014,March,03,Canada,30056911353.0
March 2014,2014-03-01,2014,March,03,Mexico,24943714671.0
April 2014,2014-04-01,2014,April,04,Canada,29284285980.0
April 2014,2014-04-01,2014,April,04,Mexico,24577857296.0
May 2014,2014-05-01,2014,May,05,Canada,30211782657.0
May 2014,2014-05-01,2014,May,05,Mexico,25444440013.0
June 2014,2014-06-01,2014,June,06,Canada,30160768175.0
June 2014,2014-06-01,2014,June,06,Mexico,25134483507.0
July 2014,2014-07-01,2014,July,07,Canada,29285944360.0
July 2014,2014-07-01,2014,July,07,Mexico,25309020948.0
August 2014,2014-08-01,2014,August,08,Canada,29082373669.0
August 2014,2014-08-01,2014,August,08,Mexico,24848981752.0
September 2014,2014-09-01,2014,September,09,Canada,30813104753.0
September 2014,2014-09-01,2014,September,09,Mexico,25033418800.0
October 2014,2014-10-01,2014,October,10,Canada,30715273887.0
October 2014,2014-10-01,2014,October,10,Mexico,27565602131.0
November 2014,2014-11-01,2014,November,11,Canada,27058340548.0
November 2014,2014-11-01,2014,November,11,Mexico,24382019757.0
December 2014,2014-12-01,2014,December,12,Canada,28829060260.0
December 2014,2014-12-01,2014,December,12,Mexico,24023764740.0
2015,2015,2015,Annual,00,Canada,296305080863.0
2015,2015,2015,Annual,00,Mexico,296433325024.0
January 2015,2015-01-01,2015,January,01,Canada,25843788846.0
January 2015,2015-01-01,2015,January,01,Mexico,22261086110.0
February 2015,2015-02-01,2015,February,02,Canada,23265839330.0
February 2015,2015-02-01,2015,February,02,Mexico,22706549902.0
March 2015,2015-03-01,2015,March,03,Canada,25778359222.0
March 2015,2015-03-01,2015,March,03,Mexico,25651682135.0
April 2015,2015-04-01,2015,April,04,Canada,24763008848.0
April 2015,2015-04-01,2015,April,04,Mexico,24704745498.0
